C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
1;13;131;Résultat bénéficiaire;131C;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;13;135;Résultat déficitaire;135D;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;13;135;Résultat déficitaire;135C;B.2.1.5.;K;CP.04;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.4. Résultats reportés;F6002;F60020007;Résultat de l'exercice
1;14;141;Titres soumis à des réglementations particulières;141D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;141;Titres soumis à des réglementations particulières;141C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;142;Réserves réglementées & réserves soumises à un régime fiscal particulier;142D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;142;Réserves réglementées & réserves soumises à un régime fiscal particulier;142C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;143;Amortissements dérogatoires;143D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020029;Provisions pour amortissement
1;14;143;Amortissements dérogatoires;143C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020029;Provisions pour amortissement
1;14;144;Réserve spéciale de réévaluation;144D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;144;Réserve spéciale de réévaluation;144C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020026;Provisions d'origine réglementaire
1;14;145;Subventions d'investissement;145D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020004;Autres capitaux propres
1;14;145;Subventions d'investissement;145C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020004;Autres capitaux propres
1;14;147;Compte du concédant;147D;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020004;Autres capitaux propres
1;14;147;Compte du concédant;147C;B.2.1.3.;K;CP.03;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.3. Autres capitaux propres;F6002;F60020004;Autres capitaux propres
1;15;151;Provisions pour risques;151D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020023;Provisions pour risques
1;15;151;Provisions pour risques;151C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020023;Provisions pour risques
1;15;152;Provisions pour charges à répartir sur plusieurs exercices;152D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020024;Prov.pour charges à répartir/plusieurs exercices
1;15;152;Provisions pour charges à répartir sur plusieurs exercices;152C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020024;Prov.pour charges à répartir/plusieurs exercices
1;15;153;Provisions pour retraites et obligations similaires;153D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020025;Prov.pour retraites et obligations similaires
1;15;153;Provisions pour retraites et obligations similaires;153C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020025;Prov.pour retraites et obligations similaires
1;15;154;Provisions d'origine réglementaire;154D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020026;Provisions d'origine réglementaire
1;15;154;Provisions d'origine réglementaire;154C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020026;Provisions d'origine réglementaire
1;15;155;Provisions pour impôts;155D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020027;Provisions pour impéts
1;15;155;Provisions pour impôts;155C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020027;Provisions pour impéts
1;15;156;Provisions pour renouvellement des immobilisations;156D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020028;Prov.pour renouvellement des immobilisations
1;15;156;Provisions pour renouvellement des immobilisations;156C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020028;Prov.pour renouvellement des immobilisations
1;15;157;Provisions pour amortissement;157D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020029;Provisions pour amortissement
1;15;157;Provisions pour amortissement;157C;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020029;Provisions pour amortissement
1;15;158;Autres provisions pour charges;158D;B.3.1.3.;L;P.03;Bilan;3. Passifs;3.1. Passifs non courants;3.1.3. Provisions;F6002;F60020030;Autres provisions pour charges
